Key: hoping, Value: 1
Key: name, Value: 7
Key: replied, Value: 6
Key: neat, Value: 1
Key: near, Value: 11
Key: neck, Value: 5
Key: need, Value: 1
Key: nest, Value: 1
Key: next, Value: 14
Key: nice, Value: 2
Key: nine, Value: 3
Key: graceful, Value: 1
Key: voiceshold, Value: 1
Key: proceed, Value: 1
Key: nobody, Value: 2
Key: nose, Value: 1
Key: adjourn, Value: 1
Key: puzzling, Value: 1
Key: middle, Value: 4
Key: passage, Value: 4
Key: detach, Value: 1
Key: passion, Value: 1
Key: clinging, Value: 1
Key: indirectly, Value: 1
Key: electronically, Value: 2
Key: babythe, Value: 1
Key: voicethe, Value: 1
Key: once, Value: 14
Key: ones, Value: 1
Key: only, Value: 16
Key: hatter, Value: 11
Key: open, Value: 4
Key: indemnify, Value: 1
Key: indemnity, Value: 1
Key: over, Value: 14
Key: owed, Value: 1
Key: owns, Value: 2
Key: _speaker_, Value: 1
Key: produce, Value: 1
Key: viewing, Value: 1
Key: bristling, Value: 1
Key: provided, Value: 4
Key: afterwards, Value: 1
Key: pack, Value: 4
Key: page, Value: 2
Key: paid, Value: 6
Key: pair, Value: 4
Key: pale, Value: 2
Key: part, Value: 4
Key: past, Value: 1
Key: paws, Value: 1
Key: corners, Value: 1
Key: pegs, Value: 1
Key: research, Value: 2
Key: thought, Value: 20
Key: every, Value: 3
Key: pink, Value: 1
Key: hatching, Value: 1
Key: chains, Value: 1
Key: years, Value: 1
Key: play, Value: 6
Key: succeeded, Value: 2
Key: squeaking, Value: 1
Key: change, Value: 5
Key: pool, Value: 8
Key: poor, Value: 10
Key: pope, Value: 1
Key: whiskers, Value: 2
Key: charge, Value: 6
Key: chatte, Value: 1
Key: honor, Value: 2
Key: alonecatch, Value: 1
Key: kettle, Value: 1
Key: house, Value: 12
Key: staff, Value: 1
Key: stalk, Value: 1
Key: stand, Value: 1
Key: start, Value: 3
Key: state, Value: 6
Key: named, Value: 1
Key: havent, Value: 2
Key: timidly, Value: 4
Key: busily, Value: 1
Key: having, Value: 3
Key: beating, Value: 1
Key: still, Value: 4
Key: reports, Value: 1
Key: underneath, Value: 1
Key: important, Value: 4
Key: stole, Value: 2
Key: stool, Value: 1
Key: stoop, Value: 1
Key: stood, Value: 5
Key: story, Value: 1
Key: beautiful, Value: 2
Key: growing, Value: 8
Key: profits, Value: 1
Key: stuff, Value: 1
Key: riddles, Value: 1
Key: carried, Value: 1
Key: series_, Value: 1
Key: parchmentscroll, Value: 1
Key: character, Value: 1
Key: carroll, Value: 3
Key: kills, Value: 1
Key: swallowed, Value: 1
Key: through, Value: 10
Key: kings, Value: 2
Key: deductible, Value: 1
Key: everything, Value: 3
Key: race, Value: 2
Key: rats, Value: 1
Key: rate, Value: 6
Key: flavor, Value: 1
Key: read, Value: 9
Key: real, Value: 1
Key: return, Value: 3
Key: deletions, Value: 1
Key: ring, Value: 2
Key: rise, Value: 1
Key: sulky, Value: 1
Key: picking, Value: 1
Key: subject, Value: 3
Key: august, Value: 1
Key: verdict, Value: 2
Key: butter, Value: 3
Key: roof, Value: 3
Key: room, Value: 8
Key: rose, Value: 1
Key: usedand, Value: 1
Key: flinging, Value: 1
Key: pointing, Value: 1
Key: rule, Value: 1
Key: rush, Value: 1
Key: lookingglass, Value: 1
Key: minutes, Value: 4
Key: running, Value: 4
Key: _what_, Value: 4
Key: 5, Value: 1
Key: s, Value: 2
Key: 2, Value: 1
Key: c, Value: 1
Key: b, Value: 2
Key: 3, Value: 3
Key: 4, Value: 3
Key: 1, Value: 2
Key: w, Value: 1
Key: d, Value: 1
Key: o, Value: 3
Key: i, Value: 122
Key: a, Value: 328
Key: purple, Value: 1
Key: safe, Value: 1
Key: said, Value: 144
Key: salt, Value: 1
Key: same, Value: 12
Key: saml, Value: 2
Key: ventured, Value: 2
Key: save, Value: 2
Key: says, Value: 1
Key: headbrandy, Value: 1
Key: seem, Value: 3
Key: gloves, Value: 5
Key: seen, Value: 3
Key: enough, Value: 5
Key: send, Value: 1
Key: sent, Value: 1
Key: around, Value: 1
Key: shes, Value: 2
Key: show, Value: 2
Key: players, Value: 3
Key: shut, Value: 3
Key: side, Value: 9
Key: sigh, Value: 1
Key: site, Value: 4
Key: consultation, Value: 1
Key: size, Value: 10
Key: playing, Value: 1
Key: voice, Value: 21
Key: some, Value: 20
Key: sons, Value: 2
Key: soon, Value: 14
Key: sort, Value: 5
Key: soup, Value: 3
Key: spot, Value: 1
Key: identification, Value: 1
Key: cheshirepuss, Value: 1
Key: stop, Value: 1
Key: such, Value: 18
Key: sure, Value: 6
Key: rabbitspat, Value: 1
Key: swam, Value: 3
Key: swim, Value: 1
Key: followed, Value: 5
Key: cucumberframe, Value: 1
Key: wriggling, Value: 1
Key: sneezed, Value: 1
Key: receiving, Value: 1
Key: swamp, Value: 1
Key: history, Value: 2
Key: tail, Value: 3
Key: take, Value: 11
Key: tale, Value: 3
Key: talk, Value: 6
Key: checks, Value: 1
Key: twelve, Value: 1
Key: _will_, Value: 1
Key: team, Value: 2
Key: happens, Value: 3
Key: tell, Value: 9
Key: than, Value: 10
Key: that, Value: 106
Key: them, Value: 30
Key: they, Value: 39
Key: then, Value: 33
Key: this, Value: 96
Key: thus, Value: 1
Key: tidy, Value: 1
Key: tied, Value: 1
Key: till, Value: 6
Key: time, Value: 21
Key: tiny, Value: 3
Key: told, Value: 1
Key: tone, Value: 11
Key: took, Value: 13
Key: toto, Value: 1
Key: following, Value: 3
Key: tree, Value: 4
Key: trot, Value: 1
Key: lessonbook, Value: 1
Key: quarrel, Value: 1
Key: corrupt, Value: 1
Key: turn, Value: 1
Key: _less_, Value: 1
Key: formats, Value: 2
Key: needs, Value: 1
Key: includes, Value: 1
Key: included, Value: 3
Key: warning, Value: 1
Key: footman, Value: 4
Key: performing, Value: 3
Key: duchess, Value: 21
Key: effect, Value: 2
Key: shutting, Value: 2
Key: cakes, Value: 3
Key: never, Value: 11
Key: machine, Value: 1
Key: newby, Value: 1
Key: remaining, Value: 1
Key: project, Value: 87
Key: cards, Value: 3
Key: cares, Value: 1
Key: maintaining, Value: 1
Key: carry, Value: 1
Key: effort, Value: 2
Key: recognized, Value: 1
Key: upon, Value: 17
Key: considerable, Value: 2
Key: described, Value: 1
Key: cause, Value: 5
Key: whispers, Value: 1
Key: user, Value: 3
Key: used, Value: 3
Key: revenue, Value: 1
Key: increasing, Value: 1
Key: filled, Value: 1
Key: refreshments, Value: 1
Key: stairs, Value: 1
Key: updated, Value: 1
Key: scattered, Value: 1
Key: circumstances, Value: 1
Key: directly, Value: 2
Key: director, Value: 1
Key: opposite, Value: 1
Key: states, Value: 15
Key: status, Value: 4
Key: very, Value: 40
Key: persons, Value: 1
Key: viia, Value: 1
Key: beasts, Value: 1
Key: void, Value: 1
Key: knave, Value: 6
Key: outoftheway, Value: 1
Key: kneel, Value: 1
Key: knelt, Value: 1
Key: painting, Value: 2
Key: golden, Value: 6
Key: hurry, Value: 4
Key: charities, Value: 1
Key: known, Value: 1
Key: registered, Value: 2
Key: somebody, Value: 3
Key: advice, Value: 1
Key: hedgehog, Value: 3
Key: advise, Value: 1
Key: wake, Value: 1
Key: want, Value: 3
Key: ways, Value: 1
Key: looking, Value: 11
Key: grunted, Value: 2
Key: well, Value: 23
Key: went, Value: 25
Key: wept, Value: 1
Key: were, Value: 32
Key: west, Value: 1
Key: weve, Value: 1
Key: archbishop, Value: 2
Key: what, Value: 32
Key: unrolled, Value: 1
Key: when, Value: 38
Key: whom, Value: 1
Key: wide, Value: 2
Key: will, Value: 14
Key: wink, Value: 1
Key: wind, Value: 1
Key: wish, Value: 9
Key: wits, Value: 1
Key: with, Value: 114
Key: lookout, Value: 1
Key: replacement, Value: 5
Key: finger, Value: 1
Key: wont, Value: 5
Key: wood, Value: 6
Key: wore, Value: 1
Key: word, Value: 2
Key: worm, Value: 1
Key: work, Value: 50
Key: 5961887, Value: 1
Key: thunder, Value: 1
Key: largest, Value: 1
Key: finish, Value: 1
Key: buttered, Value: 1
Key: forgetting, Value: 1
Key: country, Value: 2
Key: entity, Value: 3
Key: become, Value: 1
Key: employee, Value: 1
Key: edition, Value: 1
Key: continued, Value: 2
Key: barrowful, Value: 2
Key: chinit, Value: 1
Key: donations, Value: 15
Key: illustration, Value: 26
Key: alternately, Value: 1
Key: liable, Value: 1
Key: serpent, Value: 6
Key: 84116, Value: 1
Key: transcription, Value: 1
Key: charitable, Value: 1
Key: usurpation, Value: 1
Key: compressed, Value: 1
Key: night, Value: 1
Key: cease, Value: 1
Key: carefully, Value: 1
Key: humbly, Value: 1
Key: minute, Value: 7
Key: farther, Value: 1
Key: illustrator, Value: 1
Key: assistance, Value: 1
Key: confirmed, Value: 1
Key: raising, Value: 1
Key: york, Value: 2
Key: youd, Value: 3
Key: your, Value: 30
Key: curious, Value: 7
Key: nursing, Value: 1
Key: goodby, Value: 1
Key: sneezing, Value: 4
Key: garden, Value: 13
Key: _plenty_, Value: 1
Key: agreed, Value: 1
Key: cartwheels, Value: 1
Key: _wont_, Value: 1
Key: 190338txt, Value: 1
Key: addresses, Value: 1
Key: addressed, Value: 1
Key: internal, Value: 1
Key: remembered, Value: 2
Key: 190338zip, Value: 1
